Soil Type,Moisture Content (%),Wilting Point (%),Recommended Fertilizers
Loam,20.1,18.75,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,39.63,29.21,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,17.09,5.78,"Organic Fertilizer, Nitrogen"
Clay,26.63,48.25,"Urea, Potassium, Nitrogen"
Silty Clay Loam,31.53,21.4,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,34.29,15.68,"Phosphorus, Nitrogen, Potash"
Silt Loam,27.9,22.91,"Phosphorus, Nitrogen, Potash"
Silty Clay,38.2,39.68,"Micro-Nutrients, Potash"
Loam,26.03,12.12,"Compost, Nitrogen, Phosphorus"
Sandy Loam,17.88,12.93,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,15.76,13.01,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,34.05,30.87,"Micro-Nutrients, Potash"
Clay Loam,35.7,34.51,"Nitrogen, Potassium, Phosphorus"
Clay Loam,37.37,31.78,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,19.57,13.09,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,10.96,5.43,"Organic Fertilizer, Nitrogen"
Sand,8.3,4.55,"Nitrogen, Potassium"
Silty Clay Loam,31.25,25.63,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,33.85,29.77,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,27.92,28.97,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,33.61,33.76,"Micro-Nutrients, Potash"
Silt Loam,29.46,18.83,"Phosphorus, Nitrogen, Potash"
Clay Loam,33.42,25.35,"Nitrogen, Potassium, Phosphorus"
Sand,6.95,1.59,"Nitrogen, Potassium"
Loam,24.52,14.46,"Compost, Nitrogen, Phosphorus"
Clay Loam,34.71,28.83,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,31.64,34.45,"DAP (Diammonium Phosphate), Nitrogen"
Sand,11.16,1.31,"Nitrogen, Potassium"
Sand,7.56,1.23,"Nitrogen, Potassium"
Silty Clay,34.14,34.69,"Micro-Nutrients, Potash"
Silt Loam,30.49,20.27,"Phosphorus, Nitrogen, Potash"
Silt Loam,25.73,21.82,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,30.82,25.6,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,29.79,31.04,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,35.33,33.46,"Micro-Nutrients, Potash"
Silty Clay,36.47,35.24,"Micro-Nutrients, Potash"
Sand,10.1,7.59,"Nitrogen, Potassium"
Sandy Clay Loam,33.8,30.46,"DAP (Diammonium Phosphate), Nitrogen"
Sand,10.51,2.16,"Nitrogen, Potassium"
Sandy Clay Loam,34.78,33.3,"DAP (Diammonium Phosphate), Nitrogen"
Loam,24.47,16.27,"Compost, Nitrogen, Phosphorus"
Clay,27.06,42.3,"Urea, Potassium, Nitrogen"
Loamy Sand,14.77,5.6,"Organic Fertilizer, Nitrogen"
Clay,26.5,39.58,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,29.61,25.21,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,32.06,16.34,"Phosphorus, Nitrogen, Potash"
Clay,34.88,42.52,"Urea, Potassium, Nitrogen"
Loamy Sand,15.79,7.45,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,39.02,20.58,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,33.63,28.45,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,31.56,24.49,"Phosphorus, Nitrogen, Potash"
Silt Loam,33.3,22.68,"Phosphorus, Nitrogen, Potash"
Loam,27.01,13.18,"Compost, Nitrogen, Phosphorus"
Loamy Sand,13.24,6.94,"Organic Fertilizer, Nitrogen"
Silty Clay,33.94,32.38,"Micro-Nutrients, Potash"
Silty Clay Loam,39.16,24.0,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,33.98,23.22,"Phosphorus, Nitrogen, Potash"
Clay Loam,37.47,30.07,"Nitrogen, Potassium, Phosphorus"
Sand,11.86,5.89,"Nitrogen, Potassium"
Silty Clay,35.53,36.92,"Micro-Nutrients, Potash"
Sand,11.26,5.12,"Nitrogen, Potassium"
Clay Loam,38.18,33.63,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,34.33,20.92,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,37.83,25.58,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,12.38,8.88,"Organic Fertilizer, Nitrogen"
Silt Loam,32.62,19.91,"Phosphorus, Nitrogen, Potash"
Sandy Loam,16.98,14.67,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,20.56,14.27,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,14.13,2.75,"Nitrogen, Potassium"
Silty Clay Loam,31.36,25.75,"Potash, Nitrogen, Micro-Nutrients"
Clay,34.33,35.89,"Urea, Potassium, Nitrogen"
Loam,28.69,12.11,"Compost, Nitrogen, Phosphorus"
Clay Loam,39.81,34.96,"Nitrogen, Potassium, Phosphorus"
Clay Loam,34.78,28.53,"Nitrogen, Potassium, Phosphorus"
Clay,28.87,44.15,"Urea, Potassium, Nitrogen"
Loamy Sand,17.82,6.04,"Organic Fertilizer, Nitrogen"
Sand,12.58,2.15,"Nitrogen, Potassium"
Sand,14.55,7.13,"Nitrogen, Potassium"
Sandy Clay Loam,30.43,29.8,"DAP (Diammonium Phosphate), Nitrogen"
Loam,21.18,14.51,"Compost, Nitrogen, Phosphorus"
Sand,9.94,1.79,"Nitrogen, Potassium"
Silty Clay,35.41,30.08,"Micro-Nutrients, Potash"
Clay,33.06,38.61,"Urea, Potassium, Nitrogen"
Sandy Loam,17.25,13.06,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,28.49,15.32,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,38.72,26.03,"Potash, Nitrogen, Micro-Nutrients"
Loam,20.2,17.48,"Compost, Nitrogen, Phosphorus"
Clay Loam,30.83,31.54,"Nitrogen, Potassium, Phosphorus"
Clay Loam,39.03,31.23,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,16.5,11.12,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,32.04,20.49,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,27.74,30.06,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,15.42,5.24,"Organic Fertilizer, Nitrogen"
Clay Loam,32.09,34.43,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,29.88,25.72,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,18.75,11.91,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,19.27,9.29,"Organic Fertilizer, Nitrogen"
Sandy Loam,21.12,12.79,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,31.65,23.8,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,33.89,23.92,"Potash, Nitrogen, Micro-Nutrients"
Clay,29.26,45.27,"Urea, Potassium, Nitrogen"
Clay,34.16,36.34,"Urea, Potassium, Nitrogen"
Clay Loam,31.3,26.99,"Nitrogen, Potassium, Phosphorus"
Sand,12.97,4.16,"Nitrogen, Potassium"
Silty Clay Loam,37.05,22.33,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,37.44,29.93,"Potash, Nitrogen, Micro-Nutrients"
Loam,23.74,17.02,"Compost, Nitrogen, Phosphorus"
Sand,14.04,5.34,"Nitrogen, Potassium"
Sand,10.08,1.23,"Nitrogen, Potassium"
Silty Clay Loam,37.4,21.53,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,32.68,33.12,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,34.44,31.4,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,32.84,27.72,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,21.3,14.25,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,24.42,12.05,"Compost, Nitrogen, Phosphorus"
Clay Loam,32.13,29.75,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,35.56,20.99,"Potash, Nitrogen, Micro-Nutrients"
Sand,8.25,5.07,"Nitrogen, Potassium"
Loam,20.05,14.59,"Compost, Nitrogen, Phosphorus"
Sand,5.27,2.83,"Nitrogen, Potassium"
Sandy Loam,24.31,13.14,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,22.63,14.7,"Compost, Nitrogen, Phosphorus"
Loamy Sand,12.27,8.32,"Organic Fertilizer, Nitrogen"
Silty Clay,36.75,37.36,"Micro-Nutrients, Potash"
Silt Loam,33.03,18.38,"Phosphorus, Nitrogen, Potash"
Loamy Sand,10.0,5.46,"Organic Fertilizer, Nitrogen"
Silty Clay,30.69,31.42,"Micro-Nutrients, Potash"
Sandy Clay Loam,31.88,33.39,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,27.75,21.62,"Phosphorus, Nitrogen, Potash"
Silty Clay,36.54,38.01,"Micro-Nutrients, Potash"
Sand,6.51,3.13,"Nitrogen, Potassium"
Silty Clay Loam,33.21,28.52,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,37.24,30.12,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,33.54,26.53,"DAP (Diammonium Phosphate), Nitrogen"
Clay,32.8,35.98,"Urea, Potassium, Nitrogen"
Clay Loam,38.1,32.0,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,31.06,25.23,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,30.37,22.93,"Phosphorus, Nitrogen, Potash"
Sandy Loam,23.37,14.32,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,25.01,44.91,"Urea, Potassium, Nitrogen"
Clay,33.11,49.98,"Urea, Potassium, Nitrogen"
Sandy Loam,17.87,12.78,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,39.04,29.48,"Nitrogen, Potassium, Phosphorus"
Silty Clay,34.8,30.98,"Micro-Nutrients, Potash"
Sand,7.6,3.58,"Nitrogen, Potassium"
Loamy Sand,14.12,7.24,"Organic Fertilizer, Nitrogen"
Sand,14.34,6.24,"Nitrogen, Potassium"
Sandy Clay Loam,26.05,33.3,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,17.93,9.8,"Organic Fertilizer, Nitrogen"
Clay Loam,35.21,30.58,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,37.42,26.68,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,31.64,31.48,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,38.92,26.68,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,34.71,16.09,"Phosphorus, Nitrogen, Potash"
Loam,26.03,18.4,"Compost, Nitrogen, Phosphorus"
Silty Clay,38.5,38.83,"Micro-Nutrients, Potash"
Silt Loam,25.04,20.78,"Phosphorus, Nitrogen, Potash"
Sandy Loam,22.26,11.18,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,10.48,9.87,"Organic Fertilizer, Nitrogen"
Sandy Loam,19.41,11.62,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay Loam,39.39,28.85,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay Loam,33.41,25.17,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,19.0,12.87,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,31.26,38.71,"Urea, Potassium, Nitrogen"
Silt Loam,32.78,24.47,"Phosphorus, Nitrogen, Potash"
Loamy Sand,11.11,6.1,"Organic Fertilizer, Nitrogen"
Sandy Loam,20.5,11.46,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,17.69,8.59,"Organic Fertilizer, Nitrogen"
Sandy Loam,20.61,11.72,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,30.94,39.71,"Micro-Nutrients, Potash"
Loam,22.68,18.44,"Compost, Nitrogen, Phosphorus"
Loamy Sand,18.57,9.81,"Organic Fertilizer, Nitrogen"
Clay Loam,34.44,31.0,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,32.56,31.91,"DAP (Diammonium Phosphate), Nitrogen"
Clay,31.74,42.91,"Urea, Potassium, Nitrogen"
Loam,23.95,17.84,"Compost, Nitrogen, Phosphorus"
Silty Clay,35.31,38.4,"Micro-Nutrients, Potash"
Clay,31.31,37.13,"Urea, Potassium, Nitrogen"
Sand,7.71,5.41,"Nitrogen, Potassium"
Silt Loam,31.03,23.36,"Phosphorus, Nitrogen, Potash"
Clay Loam,35.73,34.46,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,19.0,9.29,"Organic Fertilizer, Nitrogen"
Loam,29.46,18.02,"Compost, Nitrogen, Phosphorus"
Silty Clay,32.33,35.23,"Micro-Nutrients, Potash"
Silt Loam,34.66,24.15,"Phosphorus, Nitrogen, Potash"
Silt Loam,29.85,22.12,"Phosphorus, Nitrogen, Potash"
Clay,34.1,49.71,"Urea, Potassium, Nitrogen"
Loamy Sand,14.54,8.24,"Organic Fertilizer, Nitrogen"
Sand,14.62,1.89,"Nitrogen, Potassium"
Sandy Clay Loam,33.05,32.9,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,35.25,31.82,"Nitrogen, Potassium, Phosphorus"
Sand,8.02,3.93,"Nitrogen, Potassium"
Sand,8.41,5.55,"Nitrogen, Potassium"
Loam,28.1,16.68,"Compost, Nitrogen, Phosphorus"
Loamy Sand,10.84,5.48,"Organic Fertilizer, Nitrogen"
Sand,12.12,5.67,"Nitrogen, Potassium"
Silty Clay,37.36,36.21,"Micro-Nutrients, Potash"
Silty Clay Loam,31.04,20.28,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,34.63,33.76,"Micro-Nutrients, Potash"
Silty Clay,32.42,33.74,"Micro-Nutrients, Potash"
Silt Loam,32.79,18.92,"Phosphorus, Nitrogen, Potash"
Loamy Sand,10.46,8.66,"Organic Fertilizer, Nitrogen"
Clay Loam,39.78,28.08,"Nitrogen, Potassium, Phosphorus"
Clay,31.58,43.0,"Urea, Potassium, Nitrogen"
Silty Clay Loam,32.86,29.57,"Potash, Nitrogen, Micro-Nutrients"
Clay,32.51,46.52,"Urea, Potassium, Nitrogen"
Clay,34.35,46.53,"Urea, Potassium, Nitrogen"
Sandy Loam,17.13,12.09,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,16.36,5.94,"Organic Fertilizer, Nitrogen"
Silty Clay,33.6,32.69,"Micro-Nutrients, Potash"
Silt Loam,28.2,21.96,"Phosphorus, Nitrogen, Potash"
Loam,20.94,18.29,"Compost, Nitrogen, Phosphorus"
Loam,29.76,16.42,"Compost, Nitrogen, Phosphorus"
Loam,21.56,16.1,"Compost, Nitrogen, Phosphorus"
Clay Loam,30.77,25.61,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,31.0,28.25,"Potash, Nitrogen, Micro-Nutrients"
Loam,23.13,18.3,"Compost, Nitrogen, Phosphorus"
Clay Loam,35.44,26.12,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,15.37,14.17,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,25.46,41.47,"Urea, Potassium, Nitrogen"
Loam,28.38,19.77,"Compost, Nitrogen, Phosphorus"
Sand,9.57,4.58,"Nitrogen, Potassium"
Loamy Sand,11.3,9.64,"Organic Fertilizer, Nitrogen"
Silty Clay,36.18,39.09,"Micro-Nutrients, Potash"
Loam,29.93,16.88,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,34.89,29.25,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,34.71,32.82,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,36.55,31.0,"Micro-Nutrients, Potash"
Loam,26.52,16.29,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,38.33,21.26,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,31.72,34.54,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,31.96,33.68,"Micro-Nutrients, Potash"
Clay Loam,31.41,27.43,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,27.93,32.71,"DAP (Diammonium Phosphate), Nitrogen"
Loam,23.22,17.7,"Compost, Nitrogen, Phosphorus"
Loam,29.51,12.17,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,29.54,34.84,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,17.22,5.22,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,38.4,20.84,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,35.55,30.83,"Micro-Nutrients, Potash"
Silt Loam,28.9,23.87,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,38.28,21.1,"Potash, Nitrogen, Micro-Nutrients"
Loam,23.6,12.17,"Compost, Nitrogen, Phosphorus"
Silt Loam,31.76,15.42,"Phosphorus, Nitrogen, Potash"
Sandy Loam,23.33,14.26,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,32.21,34.83,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,39.51,26.11,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,15.34,8.66,"Organic Fertilizer, Nitrogen"
Clay Loam,38.75,30.13,"Nitrogen, Potassium, Phosphorus"
Clay,30.32,48.9,"Urea, Potassium, Nitrogen"
Loam,23.79,18.35,"Compost, Nitrogen, Phosphorus"
Clay Loam,35.47,34.73,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,15.28,5.12,"Organic Fertilizer, Nitrogen"
Loamy Sand,12.42,5.45,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,26.91,29.28,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,16.67,10.83,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,39.99,31.73,"Micro-Nutrients, Potash"
Silty Clay,34.82,39.64,"Micro-Nutrients, Potash"
Silty Clay Loam,37.93,20.1,"Potash, Nitrogen, Micro-Nutrients"
Loam,21.27,15.4,"Compost, Nitrogen, Phosphorus"
Loam,22.79,16.01,"Compost, Nitrogen, Phosphorus"
Silt Loam,28.59,22.96,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,33.05,26.36,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,39.33,29.16,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,15.15,6.47,"Organic Fertilizer, Nitrogen"
Silt Loam,29.84,21.21,"Phosphorus, Nitrogen, Potash"
Loamy Sand,16.53,8.24,"Organic Fertilizer, Nitrogen"
Clay,28.69,36.37,"Urea, Potassium, Nitrogen"
Clay Loam,34.58,30.85,"Nitrogen, Potassium, Phosphorus"
Silt Loam,25.12,23.6,"Phosphorus, Nitrogen, Potash"
Clay Loam,36.56,27.34,"Nitrogen, Potassium, Phosphorus"
Sand,5.33,2.65,"Nitrogen, Potassium"
Silty Clay Loam,37.59,29.07,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,29.0,32.78,"DAP (Diammonium Phosphate), Nitrogen"
Loam,22.48,18.56,"Compost, Nitrogen, Phosphorus"
Clay Loam,33.22,26.14,"Nitrogen, Potassium, Phosphorus"
Clay Loam,38.92,28.15,"Nitrogen, Potassium, Phosphorus"
Loam,29.53,18.47,"Compost, Nitrogen, Phosphorus"
Clay Loam,34.91,29.83,"Nitrogen, Potassium, Phosphorus"
Silty Clay,32.87,31.64,"Micro-Nutrients, Potash"
Sandy Loam,21.43,12.77,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,34.34,25.5,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,30.08,20.75,"Phosphorus, Nitrogen, Potash"
Loamy Sand,14.43,6.21,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,31.28,28.0,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,25.52,26.58,"DAP (Diammonium Phosphate), Nitrogen"
Clay,27.62,40.71,"Urea, Potassium, Nitrogen"
Silt Loam,28.05,16.74,"Phosphorus, Nitrogen, Potash"
Loamy Sand,15.19,5.72,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,28.76,29.58,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,27.72,29.76,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,33.88,30.34,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,34.63,30.82,"Micro-Nutrients, Potash"
Sandy Loam,23.24,14.7,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,34.88,45.18,"Urea, Potassium, Nitrogen"
Clay,29.93,44.9,"Urea, Potassium, Nitrogen"
Loam,29.0,19.08,"Compost, Nitrogen, Phosphorus"
Loam,22.62,18.62,"Compost, Nitrogen, Phosphorus"
Sand,9.54,5.49,"Nitrogen, Potassium"
Sandy Clay Loam,25.27,32.57,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,21.76,13.38,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,27.03,40.56,"Urea, Potassium, Nitrogen"
Loam,20.54,16.72,"Compost, Nitrogen, Phosphorus"
Clay Loam,37.96,28.84,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,28.99,30.76,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Loam,16.07,10.07,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,15.76,13.71,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,10.51,3.82,"Nitrogen, Potassium"
Clay Loam,30.06,34.8,"Nitrogen, Potassium, Phosphorus"
Silt Loam,34.45,22.49,"Phosphorus, Nitrogen, Potash"
Loamy Sand,18.32,9.52,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,32.53,30.12,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,37.4,27.07,"Nitrogen, Potassium, Phosphorus"
Silty Clay,32.26,37.73,"Micro-Nutrients, Potash"
Loamy Sand,12.35,5.18,"Organic Fertilizer, Nitrogen"
